regime,output,fixed_var,fixed_value,repeat,method,n_train,n_test,rmse,mae,r2
noise_free,Output1,X1,1.0,0,cubic,9,3,0.023153106834232197,0.019050108829941664,0.9981223377451341
noise_free,Output1,X1,1.0,0,rbf,9,3,0.013894248193632485,0.011861625564338748,0.9993238095551598
noise_free,Output1,X1,1.0,1,rbf,9,3,0.014675857743280568,0.01428324870837964,0.9889332176058846
noise_free,Output1,X1,1.0,2,cubic,9,3,0.015841034989455393,0.010780726302041263,0.9993324557338351
noise_free,Output1,X1,1.0,2,rbf,9,3,0.01748344207989405,0.015287974382856895,0.9991868571610565
noise_free,Output1,X1,1.0,3,rbf,9,3,0.035287059574517755,0.024840504517625945,0.9949602284115953
noise_free,Output1,X1,1.0,4,rbf,9,3,0.03672173785550196,0.02892638667575827,0.997976124149423
noise_free,Output1,X1,1.0,5,rbf,9,3,0.03931006799275892,0.03331301944092938,0.998297964244139
noise_free,Output1,X1,1.0,6,rbf,9,3,0.020893936148366092,0.016776801686753256,0.9969873917581182
noise_free,Output1,X1,1.0,7,cubic,9,3,0.01588486114416205,0.009993959755001244,0.9987703672085867
noise_free,Output1,X1,1.0,7,rbf,9,3,0.010238913259032499,0.009705909858905922,0.9994891230385039
noise_free,Output1,X1,1.0,8,cubic,9,3,0.000538041746236335,0.00044172638482701626,0.9999970735606437
noise_free,Output1,X1,1.0,8,rbf,9,3,0.021203963309121884,0.018969978475245803,0.9954549185558638
noise_free,Output1,X1,1.0,9,rbf,9,3,0.02140606567045799,0.019684508383225403,0.9966638185890183
noise_free,Output1,X1,1.0,10,rbf,9,3,0.015580707992391356,0.015227165871872117,0.9994821705450577
noise_free,Output1,X1,1.0,11,rbf,9,3,0.03713588918174602,0.026903621836798657,0.9967048961365232
noise_free,Output1,X1,1.0,12,rbf,9,3,0.01954663961583884,0.0183727001426659,0.9988700102705674
noise_free,Output1,X1,1.0,13,rbf,9,3,0.052093299941721495,0.05025013631117444,0.9941462268032082
noise_free,Output1,X1,1.0,14,rbf,9,3,0.04443893378593885,0.039742864576256566,0.9960335881647816
noise_free,Output1,X1,1.0,15,rbf,9,3,0.017932808030791312,0.017305871676743134,0.9986978070514482
noise_free,Output1,X1,1.0,16,rbf,9,3,0.05893765039879296,0.05795793423491106,0.9972334510524149
noise_free,Output1,X1,1.0,17,rbf,9,3,0.037149259428623634,0.0265010432626032,0.996952029116494
noise_free,Output1,X1,1.0,18,rbf,9,3,0.023650975936717465,0.022825402853595318,0.9980400533401677
noise_free,Output1,X1,1.0,19,cubic,9,3,0.021629980363230623,0.016704799676507953,0.998966708770159
noise_free,Output1,X1,1.0,19,rbf,9,3,0.011387310683344603,0.009236661294389789,0.9997136133083175
noise_free,Output1,X1,1.0,20,rbf,9,3,0.029901835726325186,0.02043931789891788,0.9982938627708079
noise_free,Output1,X1,1.0,21,cubic,9,3,0.023153124932124295,0.019050126489602432,0.9985145312742626
noise_free,Output1,X1,1.0,21,rbf,9,3,0.01591413235031326,0.013425074218736807,0.9992982050907246
noise_free,Output1,X1,1.0,22,cubic,9,3,0.01636830238926936,0.009525023615490458,0.9995393139480385
noise_free,Output1,X1,1.0,22,rbf,9,3,0.018929056736424123,0.01850062007189786,0.9993838935859376
noise_free,Output1,X1,1.0,23,rbf,9,3,0.03318044946912044,0.029144141658337785,0.9983242208729518
noise_free,Output1,X1,1.0,24,cubic,9,3,0.0009349964658962138,0.0005800991043591885,0.9999981142153709
noise_free,Output1,X1,1.0,24,rbf,9,3,0.01612594335201811,0.015952082612479046,0.9994390522471501
noise_free,Output1,X1,1.0,25,rbf,9,3,0.09824444094292126,0.08400175986523047,0.9931389517004497
noise_free,Output1,X1,1.0,26,cubic,9,3,0.04295289857716742,0.04176902457710111,0.9750931548015642
noise_free,Output1,X1,1.0,26,rbf,9,3,0.04152891035788256,0.03706211089248579,0.9767172196605739
noise_free,Output1,X1,1.0,27,rbf,9,3,0.09259689858841964,0.07095577796587164,0.9874751397444025
noise_free,Output1,X1,1.0,28,rbf,9,3,0.026441350671651605,0.023727961463023844,0.9640460633507913
noise_free,Output1,X1,1.0,29,rbf,9,3,0.02298430630665186,0.022483199710367236,0.994659641857791
noise_free,Output1,X1,1.0,30,rbf,9,3,0.020893936148373194,0.016776801686757697,0.9969873917581162
noise_free,Output1,X1,1.0,31,rbf,9,3,0.050036094559203693,0.043732772021157516,0.9980491795000521
noise_free,Output1,X1,1.0,32,rbf,9,3,0.020749353964053967,0.016662625486554433,0.9968653784852564
noise_free,Output1,X1,1.0,33,rbf,9,3,0.01689222038814645,0.016730116588902,0.9995870150551633
noise_free,Output1,X1,1.0,34,rbf,9,3,0.118488839000544,0.09532102208041877,0.8977811855787181
noise_free,Output1,X1,1.0,35,rbf,9,3,0.01208801875157324,0.010227164400924563,0.998741362362397
noise_free,Output1,X1,1.0,36,rbf,9,3,0.10610468682951119,0.0871324498661769,0.88619097115172
