seed,regime,output,fixed_var,fixed_value,repeat,method,n_train,n_test,rmse,mae,r2
42,noise_free,Output1,X1,1.3333333333333333,17,rbf,9,3,0.01677637893167795,0.015396344145944596,0.9963144010056052
42,noise_free,Output1,X1,1.3333333333333333,18,cubic,9,3,0.016156782800296865,0.009644555786245975,0.9981985927473285
42,noise_free,Output1,X1,1.3333333333333333,18,rbf,9,3,0.01273514785273832,0.012693537529411122,0.9988807937766859
42,noise_free,Output1,X1,1.3333333333333333,19,cubic,9,3,0.023179594377590002,0.019030148852354472,0.9985111328553226
42,noise_free,Output1,X1,1.3333333333333333,19,rbf,9,3,0.01591413235031341,0.013425074218737029,0.9992982050907246
42,noise_free,Output1,X1,1.3333333333333333,20,cubic,9,3,0.01588485865512927,0.009993962865421016,0.9987703675939343
42,noise_free,Output1,X1,1.3333333333333333,20,rbf,9,3,0.01389248910123529,0.012172499801834805,0.999059478516774
42,noise_free,Output1,X1,1.3333333333333333,21,cubic,9,3,0.0158848659600917,0.00999395868382047,0.9987703664629931
42,noise_free,Output1,X1,1.3333333333333333,21,rbf,9,3,0.01389248910123465,0.012172499801834805,0.9990594785167741
42,noise_free,Output1,X1,1.3333333333333333,22,rbf,9,3,0.05497065302642204,0.05314236141297964,0.9975367779573427
42,noise_free,Output1,X1,1.3333333333333333,23,rbf,9,3,0.033180449469120625,0.029144141658337414,0.9983242208729518
42,noise_free,Output1,X1,1.3333333333333333,24,rbf,9,3,0.05319116768454398,0.04856118246296637,0.9976163958564563
42,noise_free,Output1,X1,1.3333333333333333,25,cubic,9,3,0.0010885791551943197,0.0006935822304288131,0.9999960281014322
42,noise_free,Output1,X1,1.3333333333333333,25,rbf,9,3,0.013902881743180254,0.013803228670921394,0.9993521301363236
42,noise_free,Output1,X1,1.3333333333333333,26,cubic,9,3,0.01628836991594295,0.00968907873830697,0.9992769859147673
42,noise_free,Output1,X1,1.3333333333333333,26,rbf,9,3,0.01889503146304243,0.018240094469119228,0.9990270584529539
42,noise_free,Output1,X1,1.3333333333333333,27,rbf,9,3,0.044438933785937176,0.03974286457625557,0.9960335881647818
42,noise_free,Output1,X1,1.3333333333333333,28,rbf,9,3,0.017790582559283903,0.013561279773686005,0.9837372224089271
42,noise_free,Output1,X1,1.3333333333333333,29,cubic,9,3,0.01584084847005889,0.009475528909094125,0.9982683544036018
42,noise_free,Output1,X1,1.3333333333333333,29,rbf,9,3,0.012735147852740242,0.012693537529412898,0.9988807937766856
42,noise_free,Output1,X1,1.3333333333333333,30,rbf,9,3,0.021573177685307064,0.019664767996033856,0.9976927758630457
42,noise_free,Output1,X1,1.3333333333333333,31,cubic,9,3,0.001088596387874085,0.000693584643613058,0.9999982526717007
42,noise_free,Output1,X1,1.3333333333333333,31,rbf,9,3,0.017547142263376746,0.01740406099579535,0.9995460024312854
42,noise_free,Output1,X1,1.3333333333333333,32,rbf,9,3,0.017932808030788557,0.01730587167674032,0.9986978070514486
42,noise_free,Output1,X1,1.3333333333333333,33,rbf,9,3,0.019546639615839564,0.018372700142666492,0.9988700102705674
42,noise_free,Output1,X1,1.3333333333333333,34,rbf,9,3,0.039508278219537216,0.03116823057089535,0.996670426698268
42,noise_free,Output1,X1,1.3333333333333333,35,rbf,9,3,0.013391162562819772,0.012223196699641559,0.9992918955223713
42,noise_free,Output1,X1,1.3333333333333333,36,rbf,9,3,0.021406065670457313,0.019684508383224813,0.9966638185890185
42,noise_free,Output1,X1,1.3333333333333333,37,rbf,9,3,0.037451385219648685,0.032564111356449064,0.9983412337119292
42,noise_free,Output1,X1,1.3333333333333333,38,cubic,9,3,0.01615676594343639,0.009644532561309335,0.9992405018297056
42,noise_free,Output1,X1,1.3333333333333333,38,rbf,9,3,0.01436918135698572,0.014144232560193407,0.9993992664087414
42,noise_free,Output1,X1,1.3333333333333333,39,rbf,9,3,0.03883047932235593,0.03260847575617968,0.9983997030745784
42,noise_free,Output1,X1,1.6666666666666665,0,rbf,9,3,0.04566559932632558,0.038142258972277666,0.9896690255037153
42,noise_free,Output1,X1,1.6666666666666665,1,cubic,9,3,0.02929339176618229,0.02839015566667369,0.9950352623646764
42,noise_free,Output1,X1,1.6666666666666665,1,rbf,9,3,0.028334331608338436,0.02383710022503201,0.9953550298455004
42,noise_free,Output1,X1,1.6666666666666665,2,rbf,9,3,0.03921852384236481,0.03635000553392379,0.9978477313355332
42,noise_free,Output1,X1,1.6666666666666665,3,cubic,9,3,0.016156752705905154,0.0096445348013523,0.9977514703436767
42,noise_free,Output1,X1,1.6666666666666665,3,rbf,9,3,0.009853245155536183,0.009093821992284331,0.9991637251397794
42,noise_free,Output1,X1,1.6666666666666665,4,rbf,9,3,0.03041666154638209,0.02954314173020937,0.9969957798147768
42,noise_free,Output1,X1,1.6666666666666665,5,cubic,9,3,0.023153110889000947,0.019050105271775752,0.99783030536005
42,noise_free,Output1,X1,1.6666666666666665,5,rbf,9,3,0.011669295670053127,0.01022495696656156,0.9994488507759334
42,noise_free,Output1,X1,1.6666666666666665,6,rbf,9,3,0.025736408519553042,0.024947472865828175,0.9942911000828712
42,noise_free,Output1,X1,1.6666666666666665,7,rbf,9,3,0.032697960410498404,0.029512363941371394,0.9988891409144669
42,noise_free,Output1,X1,1.6666666666666665,8,rbf,9,3,0.01990200205413489,0.019444283410961976,0.9986620602277825
42,noise_free,Output1,X1,1.6666666666666665,9,rbf,9,3,0.0575606507779924,0.04605416011395924,0.9771359308795574
42,noise_free,Output1,X1,1.6666666666666665,10,cubic,9,3,0.015884858668037485,0.00999397317854589,0.999003614298867
42,noise_free,Output1,X1,1.6666666666666665,10,rbf,9,3,0.011775204064789492,0.010366241539017848,0.999452482934003
42,noise_free,Output1,X1,1.6666666666666665,11,rbf,9,3,0.09464577330031876,0.07278946575534191,0.9915586427308264
42,noise_free,Output1,X1,1.6666666666666665,12,rbf,9,3,0.044564537682100655,0.0324398236972249,0.990321960250682
42,noise_free,Output1,X1,1.6666666666666665,13,rbf,9,3,0.030416661546382614,0.029543141730209815,0.9969957798147768
42,noise_free,Output1,X1,1.6666666666666665,14,cubic,9,3,0.021993416405941702,0.01707476148923141,0.9989316934608394
42,noise_free,Output1,X1,1.6666666666666665,14,rbf,9,3,0.011387310683345723,0.009236661294391565,0.9997136133083175
42,noise_free,Output1,X1,1.6666666666666665,15,cubic,9,3,0.0005380388779030321,0.00044172668201329185,0.9999970735918456
42,noise_free,Output1,X1,1.6666666666666665,15,rbf,9,3,0.02120396330911935,0.018969978475242993,0.9954549185558648
42,noise_free,Output1,X1,1.6666666666666665,16,rbf,9,3,0.01677637893167894,0.015396344145945188,0.9963144010056048
42,noise_free,Output1,X1,1.6666666666666665,17,rbf,9,3,0.02559457913993133,0.023832393099135984,0.9979572964536872
42,noise_free,Output1,X1,1.6666666666666665,18,cubic,9,3,0.015884855073232763,0.00999396413430409,0.9990036147498387
42,noise_free,Output1,X1,1.6666666666666665,18,rbf,9,3,0.011735443991664795,0.010440807988849906,0.9994561741762771
42,noise_free,Output1,X1,1.6666666666666665,19,rbf,9,3,0.036429627083370074,0.03302814125538959,0.9987493975223397
42,noise_free,Output1,X1,1.6666666666666665,20,rbf,9,3,0.018979989789486826,0.015981927208334874,0.9980276890989122
42,noise_free,Output1,X1,1.6666666666666665,21,rbf,9,3,0.031462250281529006,0.02485122081713964,0.9978886849312715
42,noise_free,Output1,X1,1.6666666666666665,22,rbf,9,3,0.037174972817768055,0.027502368420950773,0.9966372021266817
42,noise_free,Output1,X1,1.6666666666666665,23,rbf,9,3,0.04117357876849646,0.03682219398906087,0.9964583430965122
