seed,regime,output,method,runs,rmse_mean,rmse_p95,r2_mean,negative_r2_rate
42,noise_free,Output1,cubic,119,0.04751190624727713,0.17439172015165433,0.9891966745057145,0.0
42,noise_free,Output1,rbf,440,0.06078574636990265,0.17455460474931594,0.9859908431925336,0.0
42,noise_free,Output2,cubic,109,0.1649176620181219,0.4138556079707162,0.8616627104223962,0.045871559633027525
42,noise_free,Output2,rbf,440,0.13073386198795123,0.3356032907431886,0.8895165272862515,0.013636363636363636
42,noise_free,Output3,cubic,109,0.006919501461944765,0.01162050947461961,0.9997107157196088,0.0
42,noise_free,Output3,rbf,440,0.059485247960940964,0.1738262833137805,0.9832167480399928,0.0
42,noisy,Output1,cubic,113,0.0966280186749503,0.18490275987062457,0.9639472713726973,0.0
42,noisy,Output1,rbf,440,0.19445012755676255,0.43947245304973176,0.8480192766090046,0.022727272727272728
42,noisy,Output2,cubic,125,0.9613631710591743,2.053788023441255,-0.5133325073364186,0.24
42,noisy,Output2,rbf,440,2.1609554511072298,5.074684078305762,-10.847754809825311,0.3977272727272727
42,noisy,Output3,cubic,126,1.560030518445294,2.8757744730432884,-6.894947259459386,0.8571428571428571
42,noisy,Output3,rbf,440,3.7245525290958996,8.15936322106977,-52.258615967729,0.9727272727272728
52,noise_free,Output1,cubic,126,0.047055319724854106,0.16390133185706623,0.987821873270329,0.0
52,noise_free,Output1,rbf,440,0.06354270447359017,0.17815359240250042,0.9868316287068901,0.0
52,noise_free,Output2,cubic,107,0.15594194519703514,0.4515526618140684,0.8466087221472908,0.06542056074766354
52,noise_free,Output2,rbf,440,0.13105188983726707,0.31681038017981605,0.9400622777441383,0.006818181818181818
52,noise_free,Output3,cubic,100,0.007466886418522184,0.012367814952070027,0.9997044404221092,0.0
52,noise_free,Output3,rbf,440,0.05791629630403174,0.17261920601308853,0.9834896239275128,0.0
52,noisy,Output1,cubic,103,0.08666900929181444,0.1823918796129818,0.9658275573709989,0.0
52,noisy,Output1,rbf,440,0.18500458111295226,0.4482479014550291,0.7725176358222342,0.04090909090909091
52,noisy,Output2,cubic,120,0.8603856032547728,1.4524760358627982,-1.2427986144480982,0.30833333333333335
52,noisy,Output2,rbf,440,1.4465917558150025,3.31535815470904,-2.9076588328421096,0.3159090909090909
52,noisy,Output3,cubic,111,1.5739210490652722,2.675772972494185,-7.435851392863287,0.8378378378378378
52,noisy,Output3,rbf,440,3.3343035400774923,7.189146378721184,-43.998894138378326,0.925
62,noise_free,Output1,cubic,133,0.04801035430572188,0.17411088824269336,0.9876584745311348,0.0
62,noise_free,Output1,rbf,440,0.058264184300031975,0.17818444568766334,0.9867064124349982,0.0
62,noise_free,Output2,cubic,118,0.1547049825460122,0.37144615826401345,0.8992705862667311,0.00847457627118644
62,noise_free,Output2,rbf,440,0.137350340358207,0.45426315022754143,0.8793435066545303,0.015909090909090907
62,noise_free,Output3,cubic,103,0.007463266243314398,0.012144442446151435,0.999778470498088,0.0
62,noise_free,Output3,rbf,440,0.060153974329816264,0.1820298879343857,0.9783591264532137,0.0
62,noisy,Output1,cubic,103,0.09449130722887751,0.15204226510838093,0.9685680884878763,0.0
62,noisy,Output1,rbf,440,0.19321241085007343,0.40501419058178645,0.8363908416693371,0.02727272727272727
62,noisy,Output2,cubic,120,1.0954963770804507,2.3289475181567894,-0.8751016682918308,0.31666666666666665
62,noisy,Output2,rbf,440,1.8406930372994543,4.2278028897483875,-7.550490437466126,0.36818181818181817
62,noisy,Output3,cubic,127,1.9532854640353776,3.313681215278631,-12.550770759625651,0.8976377952755905
62,noisy,Output3,rbf,440,4.19123090670074,8.461164706077149,-67.46223289654608,0.9613636363636363
72,noise_free,Output1,cubic,116,0.04468869265957997,0.16270005423300962,0.991417992337744,0.0
